concept_index,concept_name,layer_index,layer_name,cav_sensitivity,training_step
23,agent_against_upper_wall,4,dense_1,0.030000000000000027,600000
24,agent_against_bottom_wall,4,dense_1,0.06499999999999995,600000
0,avo_above_agent,0,conv2d,0.0,650000
1,avo_right_of_agent,0,conv2d,0.0,650000
2,avo_below_agent,0,conv2d,0.0,650000
3,avo_left_of_agent,0,conv2d,0.0,650000
4,random_observation,0,conv2d,0.004999999999999893,650000
5,enemy_close_to_agent,0,conv2d,0.004999999999999893,650000
6,avocado_visible,0,conv2d,0.0,650000
7,agent_close_to_avocado,0,conv2d,0.004999999999999893,650000
8,agent_next_to_wall,0,conv2d,0.0,650000
9,enemy_within_3_left,0,conv2d,0.004999999999999893,650000
10,enemy_within_3_right,0,conv2d,0.004999999999999893,650000
11,enemy_within_3_up,0,conv2d,0.0,650000
12,enemy_within_3_down,0,conv2d,0.0,650000
13,enemy_2_steps_left,0,conv2d,0.004999999999999893,650000
14,enemy_2_steps_right,0,conv2d,0.0,650000
15,enemy_2_steps_up,0,conv2d,0.0,650000
16,enemy_2_steps_down,0,conv2d,0.004999999999999893,650000
17,enemy_1_step_left,0,conv2d,0.004999999999999893,650000
18,enemy_1_step_right,0,conv2d,0.0,650000
19,enemy_1_step_up,0,conv2d,0.0,650000
20,enemy_1_step_down,0,conv2d,0.004999999999999893,650000
21,agent_against_left_wall,0,conv2d,0.925,650000
22,agent_against_right_wall,0,conv2d,0.95,650000
23,agent_against_upper_wall,0,conv2d,0.9299999999999999,650000
24,agent_against_bottom_wall,0,conv2d,0.8799999999999999,650000
0,avo_above_agent,1,conv2d_1,0.0,650000
1,avo_right_of_agent,1,conv2d_1,0.0,650000
2,avo_below_agent,1,conv2d_1,0.004999999999999893,650000
3,avo_left_of_agent,1,conv2d_1,0.0,650000
4,random_observation,1,conv2d_1,0.004999999999999893,650000
5,enemy_close_to_agent,1,conv2d_1,0.004999999999999893,650000
6,avocado_visible,1,conv2d_1,0.0,650000
7,agent_close_to_avocado,1,conv2d_1,0.25,650000
8,agent_next_to_wall,1,conv2d_1,0.0,650000
9,enemy_within_3_left,1,conv2d_1,0.0,650000
10,enemy_within_3_right,1,conv2d_1,0.004999999999999893,650000
11,enemy_within_3_up,1,conv2d_1,0.0,650000
12,enemy_within_3_down,1,conv2d_1,0.0,650000
13,enemy_2_steps_left,1,conv2d_1,0.0,650000
14,enemy_2_steps_right,1,conv2d_1,0.004999999999999893,650000
15,enemy_2_steps_up,1,conv2d_1,0.0,650000
16,enemy_2_steps_down,1,conv2d_1,0.004999999999999893,650000
17,enemy_1_step_left,1,conv2d_1,0.004999999999999893,650000
18,enemy_1_step_right,1,conv2d_1,0.0,650000
19,enemy_1_step_up,1,conv2d_1,0.004999999999999893,650000
20,enemy_1_step_down,1,conv2d_1,0.0,650000
21,agent_against_left_wall,1,conv2d_1,0.885,650000
22,agent_against_right_wall,1,conv2d_1,0.79,650000
23,agent_against_upper_wall,1,conv2d_1,0.8799999999999999,650000
24,agent_against_bottom_wall,1,conv2d_1,0.8300000000000001,650000
0,avo_above_agent,2,flatten,0.0,650000
1,avo_right_of_agent,2,flatten,0.0,650000
2,avo_below_agent,2,flatten,0.004999999999999893,650000
3,avo_left_of_agent,2,flatten,0.0,650000
4,random_observation,2,flatten,0.004999999999999893,650000
5,enemy_close_to_agent,2,flatten,0.004999999999999893,650000
6,avocado_visible,2,flatten,0.0,650000
7,agent_close_to_avocado,2,flatten,0.25,650000
8,agent_next_to_wall,2,flatten,0.0,650000
9,enemy_within_3_left,2,flatten,0.0,650000
10,enemy_within_3_right,2,flatten,0.004999999999999893,650000
11,enemy_within_3_up,2,flatten,0.0,650000
12,enemy_within_3_down,2,flatten,0.0,650000
13,enemy_2_steps_left,2,flatten,0.0,650000
14,enemy_2_steps_right,2,flatten,0.004999999999999893,650000
15,enemy_2_steps_up,2,flatten,0.0,650000
16,enemy_2_steps_down,2,flatten,0.004999999999999893,650000
17,enemy_1_step_left,2,flatten,0.004999999999999893,650000
18,enemy_1_step_right,2,flatten,0.0,650000
19,enemy_1_step_up,2,flatten,0.004999999999999893,650000
20,enemy_1_step_down,2,flatten,0.0,650000
21,agent_against_left_wall,2,flatten,0.885,650000
22,agent_against_right_wall,2,flatten,0.79,650000
23,agent_against_upper_wall,2,flatten,0.8799999999999999,650000
24,agent_against_bottom_wall,2,flatten,0.8300000000000001,650000
0,avo_above_agent,3,dense,0.625,650000
1,avo_right_of_agent,3,dense,0.54,650000
2,avo_below_agent,3,dense,0.625,650000
3,avo_left_of_agent,3,dense,0.595,650000
4,random_observation,3,dense,0.0,650000
5,enemy_close_to_agent,3,dense,0.56,650000
6,avocado_visible,3,dense,0.665,650000
7,agent_close_to_avocado,3,dense,0.5449999999999999,650000
8,agent_next_to_wall,3,dense,0.29000000000000004,650000
9,enemy_within_3_left,3,dense,0.5049999999999999,650000
10,enemy_within_3_right,3,dense,0.5349999999999999,650000
11,enemy_within_3_up,3,dense,0.5349999999999999,650000
12,enemy_within_3_down,3,dense,0.5049999999999999,650000
13,enemy_2_steps_left,3,dense,0.6950000000000001,650000
14,enemy_2_steps_right,3,dense,0.6499999999999999,650000
15,enemy_2_steps_up,3,dense,0.665,650000
16,enemy_2_steps_down,3,dense,0.645,650000
17,enemy_1_step_left,3,dense,0.915,650000
18,enemy_1_step_right,3,dense,0.835,650000
19,enemy_1_step_up,3,dense,0.8500000000000001,650000
20,enemy_1_step_down,3,dense,0.8600000000000001,650000
21,agent_against_left_wall,3,dense,0.6100000000000001,650000
22,agent_against_right_wall,3,dense,0.55,650000
23,agent_against_upper_wall,3,dense,0.5249999999999999,650000
24,agent_against_bottom_wall,3,dense,0.595,650000
0,avo_above_agent,4,dense_1,0.45999999999999996,650000
1,avo_right_of_agent,4,dense_1,0.43500000000000005,650000
2,avo_below_agent,4,dense_1,0.55,650000
3,avo_left_of_agent,4,dense_1,0.55,650000
4,random_observation,4,dense_1,0.0,650000
5,enemy_close_to_agent,4,dense_1,0.20999999999999996,650000
6,avocado_visible,4,dense_1,0.5549999999999999,650000
7,agent_close_to_avocado,4,dense_1,0.5149999999999999,650000
8,agent_next_to_wall,4,dense_1,0.08499999999999996,650000
9,enemy_within_3_left,4,dense_1,0.42500000000000004,650000
10,enemy_within_3_right,4,dense_1,0.44500000000000006,650000
11,enemy_within_3_up,4,dense_1,0.44999999999999996,650000
12,enemy_within_3_down,4,dense_1,0.48,650000
13,enemy_2_steps_left,4,dense_1,0.665,650000
14,enemy_2_steps_right,4,dense_1,0.47,650000
15,enemy_2_steps_up,4,dense_1,0.565,650000
16,enemy_2_steps_down,4,dense_1,0.685,650000
17,enemy_1_step_left,4,dense_1,0.8500000000000001,650000
18,enemy_1_step_right,4,dense_1,0.76,650000
19,enemy_1_step_up,4,dense_1,0.825,650000
20,enemy_1_step_down,4,dense_1,0.8200000000000001,650000
21,agent_against_left_wall,4,dense_1,0.10000000000000009,650000
22,agent_against_right_wall,4,dense_1,0.19999999999999996,650000
23,agent_against_upper_wall,4,dense_1,0.050000000000000044,650000
24,agent_against_bottom_wall,4,dense_1,0.02499999999999991,650000
0,avo_above_agent,0,conv2d,0.0,700000
1,avo_right_of_agent,0,conv2d,0.0,700000
2,avo_below_agent,0,conv2d,0.0,700000
3,avo_left_of_agent,0,conv2d,0.0,700000
4,random_observation,0,conv2d,0.004999999999999893,700000
5,enemy_close_to_agent,0,conv2d,0.004999999999999893,700000
6,avocado_visible,0,conv2d,0.0,700000
7,agent_close_to_avocado,0,conv2d,0.004999999999999893,700000
8,agent_next_to_wall,0,conv2d,0.0,700000
9,enemy_within_3_left,0,conv2d,0.004999999999999893,700000
10,enemy_within_3_right,0,conv2d,0.004999999999999893,700000
